COD;CODMUN7;Estado;ano;Nome;CV_SCR1 (1 ano);CV_SCR2 (15 meses);Poprural;PopUrb;RDPC;PEA;PEA_A;IDHM;IDHM_E;IDHM_L;IDHM_R;T_ANALF18M;T_MED18M;T_SUPER25M;T_AGUA;T_BANAGUA;T_DENS;T_LIXO;T_LUZ;AGUA_ESGOTO;POPDOMCHEFMULHERES;DENSDEMOG2010;PERC_NV_7CPN;CoberturaAB
130130;1301308;amazonas;2016;Codaj s;102,1;89,02;31,89;68,11;239,64;8442;36,38;0,563;0,421;0,775;0,546;20,39;23,01;3,62;63,71;47,59;68,04;88,13;92,78;17,27;32,13;1,24;49,5;100
130140;1301407;amazonas;2016;Eirunepa;49,38;40,75;27,72;72,28;241,86;12350;40,27;0,563;0,431;0,756;0,548;36,14;22,07;5,51;52,29;23,75;53,4;45,84;82,73;37,26;38,74;2,04;42,57;91,26
130150;1301506;amazonas;2016;Envira;76,37;66,17;35,41;64,59;204,98;5254;32,16;0,509;0,349;0,727;0,521;35,05;17,13;4,92;44,82;24,55;55,43;91,75;73,34;43,97;33,91;2,18;53,93;100
130160;1301605;amazonas;2016;Fonte Boa;60,64;52,74;33,76;66,24;200,4;8207;35,97;0,53;0,4;0,719;0,518;26,62;16,79;3,1;67,64;31,25;72,65;66,57;88,32;28,37;28,92;1,88;39,44;83,16
130165;1301654;amazonas;2016;Guajar ;66,97;44,44;46,85;53,15;191,04;3496;25,02;0,532;0,387;0,762;0,51;35,2;17,28;3,9;62,11;15,92;66,36;78,49;66,5;70,08;32,46;1,84;45,77;100
130170;1301704;amazonas;2016;Humait ;92,7;85,39;31,04;68,96;382,13;15817;35,76;0,605;0,451;0,791;0,621;18,54;26,21;6,53;77,32;58,58;56,12;91,88;90,73;26,98;30,45;1,34;60,9;67,25
130180;1301803;amazonas;2016;Ipixuna;62,85;60,75;57,32;42,68;154,54;6651;29,89;0,481;0,302;0,772;0,476;40,62;16,64;2,29;41,52;15,3;68,8;74,46;66,44;53,7;18,16;1,85;23,39;51,38
130185;1301852;amazonas;2016;Iranduba;101,64;89,02;28,94;71,06;349,23;15488;37,98;0,613;0,476;0,799;0,607;14,38;22,37;3,88;70,95;55,44;62,14;91,96;94,68;30,34;41,05;18,42;40,84;100
130190;1301902;amazonas;2016;Itacoatiara;64,93;55,51;33,03;66,97;373,71;34999;40,3;0,644;0,534;0,811;0,618;9,94;28,77;5,88;78,88;62,11;59,14;97,62;92,63;24,77;41,28;9,77;55,52;100
130195;1301951;amazonas;2016;Itamarati;57,59;43,45;44,36;55,64;214,95;1875;23,33;0,477;0,266;0,772;0,529;40,71;8,47;3,75;52,1;19,03;59,27;52,8;69,27;39,48;32,76;0,32;57,03;100
130200;1302009;amazonas;2016;Itapiranga;119,73;97,28;21,43;78,57;321,94;3125;38,06;0,654;0,594;0,792;0,594;9,26;33,48;5,21;82,78;48,43;61,75;91,65;89,43;37,49;34,14;1,94;49,2;100
130210;1302108;amazonas;2016;Japur ;120,96;93,41;54,98;45,02;248,6;2602;35,52;0,522;0,345;0,748;0,552;29,28;10;3,79;48,06;31,51;73,99;43,83;86,57;32,9;23,17;0,13;38,67;100
130220;1302207;amazonas;2016;Juru ;48,13;24,3;47,36;52,64;227,39;4485;41,52;0,522;0,376;0,704;0,538;36,45;15,26;2,54;47,97;27,35;67,17;77,56;89,02;44,39;39,82;0,56;39,43;52,28
130230;1302306;amazonas;2016;Jutai;36,57;37,06;41,35;58,65;214,36;6621;36,8;0,516;0,34;0,766;0,528;30,74;13,29;3,83;63,7;14,65;77,25;20,16;85,11;30,97;24,65;0,26;23,34;100
130240;1302405;amazonas;2016;L brea;102,48;90,71;35,79;64,21;227,62;15525;41,18;0,531;0,374;0,744;0,538;31,17;16,36;3,68;48,22;41,87;59,85;81,31;79,79;27,65;29,86;0,55;51,23;63,8
130250;1302504;amazonas;2016;Manacapuru;23,6;19,33;29,32;70,68;342,58;34354;40,35;0,614;0,481;0,795;0,604;17,11;24,71;3,59;70,31;55,6;64,38;93,78;90,08;26,84;35,8;11,62;41,06;92,25
